player_name,team_tag,season_uvi,ppp,total_pitches,games
Jeff Hoffman,TOR,29.7,-0.031689003533568905,1132,71
Nolan Hoffman,PHI,6.1,-0.03675384615384615,26,1
Andrew Hoffmann,AZ,-86.2,-0.05622846853146853,143,8
Andrew Hoffmann,KC,15.7,-0.03459560194174757,103,3
Gunnar Hoglund,ATH,3.8,-0.03714982664233577,548,6
Colin Holderman,PIT,-64.4,-0.05248532056451613,496,24
Gavin Hollowell,CHC,180.2,-0.0009462906976744164,172,7
Grant Holman,ATH,44.8,-0.028300332446808508,376,22
Clay Holmes,NYM,129.4,-0.01001888720173536,2766,33
Grant Holmes,ATL,108.1,-0.015314523350253809,1970,22
Tyler Holton,DET,75.6,-0.021807775773195877,1164,70
Bailey Horn,DET,126.4,-0.010952343750000001,224,10
Cade Horton,CHC,153.6,-0.006404563128491622,1790,23
Tanner Houck,BOS,37.5,-0.03055870493991989,749,9
Adrian Houser,CWS,153.1,-0.004573346346346345,999,11
Adrian Houser,TB,106.4,-0.014515761478163495,893,10
Bryan Hudson,CWS,78.3,-0.020879357142857144,84,4
Bryan Hudson,MIL,154.9,-0.005824413223140496,242,12
Cooper Hummel,HOU,-361.7,-0.11379411764705882,17,1
Brant Hurter,DET,160.3,-0.003692366541353384,1064,43
Raisel Iglesias,ATL,24.7,-0.032810556468172485,974,70
Shota Imanaga,CHC,76.4,-0.022272114272166903,2109,24
Jake Irvin,WSH,24.1,-0.032829452663725826,2947,33
Alex Jackson,BAL,-107.6,-0.061947916666666665,24,1
Luke Jackson,DET,173.3,-0.0009255681818181818,88,3
Luke Jackson,SEA,192.2,0.0067301043956043945,182,10
Luke Jackson,TEX,24.5,-0.03298468796992481,532,39
Alek Jacob,SD,80.1,-0.020312721843003412,586,29
Drey Jameson,AZ,-88.1,-0.05662328301886792,53,3
Travis Jankowski,NYM,-76.8,-0.05456153846153847,13,1
Kenley Jansen,LAA,115.3,-0.012810829157175397,878,62
Bryce Jarvis,AZ,148.6,-0.006528215158924206,409,12
Cristian Javier,HOU,130.7,-0.010576064724919093,618,8
Griffin Jax,MIN,67.1,-0.023762488281249997,768,50
Griffin Jax,TB,33.5,-0.03060080415430267,337,23
